"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ICICIBANK","EQ","01-Apr-2020","323.75","319.00","323.75","308.10","311.50","311.15","314.20","33,142,102","10,413,253,174.80","363,679","11,070,397","33.40"
"ICICIBANK","EQ","03-Apr-2020","311.15","309.50","309.50","281.50","288.00","286.65","291.84","57,330,285","16,731,286,856.70","531,869","25,041,960","43.68"
"ICICIBANK","EQ","07-Apr-2020","286.65","308.30","329.60","296.85","324.80","326.10","312.21","57,662,681","18,002,717,272.65","516,940","15,771,963","27.35"
"ICICIBANK","EQ","08-Apr-2020","326.10","322.85","352.75","315.10","317.65","318.95","328.87","73,931,642","24,313,828,663.50","716,901","23,456,793","31.73"
"ICICIBANK","EQ","09-Apr-2020","318.95","332.40","345.00","322.65","342.00","342.70","335.25","52,432,049","17,578,019,638.95","513,643","13,244,134","25.26"
"ICICIBANK","EQ","13-Apr-2020","342.70","341.05","345.80","329.25","331.10","330.65","335.60","30,995,409","10,401,957,611.00","308,507","6,711,383","21.65"
"ICICIBANK","EQ","15-Apr-2020","330.65","342.70","351.90","325.00","328.50","327.35","340.23","49,134,201","16,717,007,506.60","466,734","13,223,129","26.91"
"ICICIBANK","EQ","16-Apr-2020","327.35","325.30","347.80","319.35","342.85","342.00","335.88","56,494,211","18,975,317,553.80","519,194","15,601,137","27.62"
"ICICIBANK","EQ","17-Apr-2020","342.00","362.00","385.50","349.05","375.00","375.55","361.31","69,008,019","24,933,049,546.80","949,891","14,016,794","20.31"
"ICICIBANK","EQ","20-Apr-2020","375.55","376.00","378.90","357.00","361.75","361.30","370.43","55,811,178","20,673,903,439.80","636,846","15,614,026","27.98"
"ICICIBANK","EQ","21-Apr-2020","361.30","341.00","346.20","328.00","329.80","331.85","335.93","50,118,816","16,836,640,489.60","526,838","14,419,656","28.77"
"ICICIBANK","EQ","22-Apr-2020","331.85","326.00","338.00","323.05","336.50","335.95","330.79","49,115,661","16,246,999,523.00","470,641","8,929,162","18.18"
"ICICIBANK","EQ","23-Apr-2020","335.95","340.25","354.80","338.00","350.80","352.95","347.48","45,953,483","15,968,139,039.60","413,227","11,223,941","24.42"
"ICICIBANK","EQ","24-Apr-2020","352.95","337.90","343.25","331.50","337.05","334.85","337.01","38,513,311","12,979,357,489.20","414,126","10,567,552","27.44"
"ICICIBANK","EQ","27-Apr-2020","334.85","339.30","352.90","338.00","346.30","347.90","346.35","38,981,101","13,501,080,399.80","344,753","12,387,917","31.78"
"ICICIBANK","EQ","28-Apr-2020","347.90","353.75","362.85","350.25","361.00","359.85","357.20","32,934,538","11,764,158,548.60","290,804","9,305,910","28.26"
"ICICIBANK","EQ","29-Apr-2020","359.85","353.00","376.50","351.65","367.65","370.45","364.58","39,342,166","14,343,285,870.45","415,320","10,509,163","26.71"
"ICICIBANK","EQ","30-Apr-2020","370.45","382.00","392.95","374.15","377.70","380.15","384.03","45,735,197","17,563,849,150.60","413,914","13,787,089","30.15"
"ICICIBANK","EQ","04-May-2020","380.15","359.00","359.00","336.00","340.00","338.05","344.06","38,837,866","13,362,584,630.45","619,031","16,659,042","42.89"
"ICICIBANK","EQ","05-May-2020","338.05","348.00","348.00","329.55","332.00","330.85","339.92","45,071,600","15,320,719,949.85","413,360","11,783,573","26.14"
"ICICIBANK","EQ","06-May-2020","330.85","331.50","345.55","325.25","342.80","341.40","338.49","49,953,121","16,908,540,303.00","447,408","10,790,619","21.60"
"ICICIBANK","EQ","07-May-2020","341.40","337.00","342.90","333.70","337.90","336.75","338.15","27,657,193","9,352,185,697.05","251,905","8,274,614","29.92"
"ICICIBANK","EQ","08-May-2020","336.75","344.00","352.50","333.70","335.65","337.70","345.29","42,970,794","14,837,257,993.10","383,834","11,404,524","26.54"
"ICICIBANK","EQ","11-May-2020","337.70","341.00","343.55","318.20","322.10","320.15","329.10","83,666,044","27,534,147,821.15","824,877","25,156,605","30.07"
"ICICIBANK","EQ","12-May-2020","320.15","318.30","324.40","308.00","322.80","321.20","314.78","69,072,372","21,742,502,518.65","624,472","20,117,447","29.13"
"ICICIBANK","EQ","13-May-2020","321.20","343.50","348.40","332.30","337.20","338.05","340.48","72,818,140","24,793,293,174.25","679,918","23,323,711","32.03"
