"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ICICIBANK","EQ","01-Apr-2021","582.10","587.55","596.10","580.20","594.75","594.40","587.17","15,631,940","9,178,664,015.45","187,284","5,461,849","34.94"
"ICICIBANK","EQ","05-Apr-2021","594.40","592.00","592.00","563.50","572.00","571.25","572.46","23,260,127","13,315,445,012.40","269,197","8,775,222","37.73"
"ICICIBANK","EQ","06-Apr-2021","571.25","574.70","578.50","564.40","567.35","565.90","569.36","23,284,697","13,257,425,168.95","283,888","9,362,633","40.21"
"ICICIBANK","EQ","07-Apr-2021","565.90","566.55","580.00","559.40","576.75","577.65","573.84","23,984,399","13,763,272,230.65","220,773","10,395,598","43.34"
"ICICIBANK","EQ","08-Apr-2021","577.65","582.00","585.85","573.30","576.70","576.70","579.98","19,262,565","11,171,947,280.95","205,706","8,931,243","46.37"
"ICICIBANK","EQ","09-Apr-2021","576.70","573.95","579.00","565.00","565.95","566.20","570.46","23,239,564","13,257,191,549.10","259,880","11,387,727","49.00"
"ICICIBANK","EQ","12-Apr-2021","566.20","551.40","551.95","531.15","540.90","538.55","540.90","26,601,702","14,388,943,655.15","391,762","13,125,799","49.34"
"ICICIBANK","EQ","13-Apr-2021","538.55","541.00","563.80","537.85","559.60","560.60","554.46","25,445,897","14,108,659,844.50","298,088","11,063,465","43.48"
"ICICIBANK","EQ","15-Apr-2021","560.60","565.95","576.75","554.15","575.75","575.20","567.41","37,614,884","21,343,080,263.80","319,800","18,418,969","48.97"
"ICICIBANK","EQ","16-Apr-2021","575.20","574.60","577.75","564.10","565.05","566.95","569.62","24,045,008","13,696,611,657.20","259,366","10,755,676","44.73"
"ICICIBANK","EQ","19-Apr-2021","566.95","550.00","562.30","534.40","560.40","559.75","547.46","28,526,176","15,616,832,079.60","301,440","13,059,152","45.78"
"ICICIBANK","EQ","20-Apr-2021","559.75","565.20","572.65","552.60","558.40","559.10","562.91","24,425,842","13,749,461,212.45","265,471","9,693,374","39.68"
"ICICIBANK","EQ","22-Apr-2021","559.10","552.00","580.60","546.90","578.40","579.20","570.14","34,942,633","19,922,190,837.65","340,989","12,430,125","35.57"
"ICICIBANK","EQ","23-Apr-2021","579.20","569.90","580.50","567.05","567.50","569.95","572.81","33,749,097","19,331,670,490.25","364,665","10,861,229","32.18"
"ICICIBANK","EQ","26-Apr-2021","569.95","602.00","605.50","588.00","588.70","591.10","596.22","62,584,522","37,314,288,015.40","546,696","16,913,351","27.02"
"ICICIBANK","EQ","27-Apr-2021","591.10","593.25","601.95","591.10","599.00","598.75","597.63","24,239,685","14,486,296,318.65","233,412","9,056,247","37.36"
"ICICIBANK","EQ","28-Apr-2021","598.75","598.00","622.80","598.00","619.70","621.35","612.57","33,292,864","20,394,219,403.50","295,406","14,011,476","42.09"
"ICICIBANK","EQ","29-Apr-2021","621.35","622.55","628.45","609.00","621.00","621.45","619.55","34,537,860","21,397,915,714.35","304,029","10,324,897","29.89"
"ICICIBANK","EQ","30-Apr-2021","621.45","610.10","616.35","598.10","599.70","600.50","607.02","23,653,258","14,358,008,451.35","247,055","7,292,392","30.83"
"ICICIBANK","EQ","03-May-2021","600.50","592.55","598.85","587.50","598.30","596.75","592.40","18,010,557","10,669,419,775.40","201,108","5,156,764","28.63"
"ICICIBANK","EQ","04-May-2021","596.75","596.65","608.00","589.00","592.00","591.55","600.27","15,115,127","9,073,114,674.20","170,816","3,728,401","24.67"
"ICICIBANK","EQ","05-May-2021","591.55","595.30","604.80","584.70","604.00","602.80","596.84","17,253,943","10,297,906,055.00","203,282","4,277,208","24.79"
"ICICIBANK","EQ","06-May-2021","602.80","602.80","610.85","599.25","609.95","608.20","605.35","16,949,763","10,260,570,177.60","156,779","7,236,432","42.69"
