"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ICICIBANK","EQ","01-Apr-2019","400.50","401.45","409.55","395.75","397.00","398.25","404.53","16,106,604","6,515,525,109.95","161,156","6,406,131","39.77"
"ICICIBANK","EQ","02-Apr-2019","398.25","400.00","400.00","393.45","398.55","397.15","395.93","13,010,810","5,151,407,887.65","143,555","6,427,628","49.40"
"ICICIBANK","EQ","03-Apr-2019","397.15","399.00","402.80","390.65","392.55","392.10","397.01","12,317,200","4,890,028,524.95","102,453","5,750,609","46.69"
"ICICIBANK","EQ","04-Apr-2019","392.10","394.40","395.70","387.30","388.90","388.75","391.00","14,521,564","5,677,934,996.70","132,792","6,585,953","45.35"
"ICICIBANK","EQ","05-Apr-2019","388.75","389.25","392.50","385.60","391.75","390.55","388.82","10,853,927","4,220,193,868.30","111,727","4,629,400","42.65"
"ICICIBANK","EQ","08-Apr-2019","390.55","391.45","391.45","385.00","387.15","387.10","388.41","6,305,407","2,449,056,154.85","78,174","1,983,500","31.46"
"ICICIBANK","EQ","09-Apr-2019","387.10","387.40","398.35","387.15","397.15","397.15","392.60","13,206,348","5,184,788,586.75","129,055","5,426,239","41.09"
"ICICIBANK","EQ","10-Apr-2019","397.15","395.55","398.80","392.70","393.50","394.20","395.63","14,000,018","5,538,861,238.20","100,370","7,169,679","51.21"
"ICICIBANK","EQ","11-Apr-2019","394.20","394.50","394.50","387.55","390.00","390.05","390.26","8,704,774","3,397,110,260.45","101,453","3,748,695","43.06"
"ICICIBANK","EQ","12-Apr-2019","390.05","390.60","395.55","388.25","393.45","394.60","392.26","7,035,256","2,759,661,617.20","66,730","2,620,504","37.25"
"ICICIBANK","EQ","15-Apr-2019","394.60","394.20","396.95","391.80","392.60","392.75","394.89","9,770,752","3,858,415,193.80","90,163","4,355,459","44.58"
"ICICIBANK","EQ","16-Apr-2019","392.75","397.50","408.40","397.50","407.95","407.00","404.80","24,487,788","9,912,576,444.50","225,994","7,763,656","31.70"
"ICICIBANK","EQ","18-Apr-2019","407.00","411.00","411.00","402.60","403.35","404.40","406.69","18,660,434","7,589,094,891.45","138,933","9,156,839","49.07"
"ICICIBANK","EQ","22-Apr-2019","404.40","404.25","404.60","393.70","394.75","394.50","398.24","10,493,872","4,179,106,013.45","127,031","4,743,671","45.20"
"ICICIBANK","EQ","23-Apr-2019","394.50","396.10","399.95","393.60","397.00","396.50","397.18","10,203,957","4,052,765,464.20","130,061","4,305,199","42.19"
"ICICIBANK","EQ","24-Apr-2019","396.50","397.10","402.65","393.45","401.60","401.10","397.78","11,397,163","4,533,610,328.60","143,131","5,873,939","51.54"
"ICICIBANK","EQ","25-Apr-2019","401.10","400.90","402.40","394.30","395.65","395.40","398.27","16,524,091","6,581,039,961.40","116,341","9,211,462","55.75"
"ICICIBANK","EQ","26-Apr-2019","395.40","400.00","408.00","394.25","407.20","407.20","402.32","14,286,163","5,747,563,971.80","132,349","5,156,104","36.09"
"ICICIBANK","EQ","30-Apr-2019","407.20","407.75","409.80","403.30","405.75","407.50","407.21","19,375,553","7,889,956,795.35","226,795","9,182,849","47.39"
"ICICIBANK","EQ","02-May-2019","407.50","403.70","405.00","394.40","394.75","395.55","399.85","16,572,948","6,626,740,084.20","190,606","7,007,278","42.28"
"ICICIBANK","EQ","03-May-2019","395.55","397.15","405.20","394.70","402.75","401.80","400.66","24,431,248","9,788,606,916.70","212,947","11,814,839","48.36"
"ICICIBANK","EQ","06-May-2019","401.80","396.50","404.90","394.65","401.80","401.30","400.54","20,751,521","8,311,728,382.90","158,585","6,561,764","31.62"
