"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ICICIBANK","EQ","22-Nov-2022","921.40","923.75","926.50","920.40","922.65","923.70","924.17","11,256,509","10,402,963,206.05","173,058","8,663,053","76.96"
"ICICIBANK","EQ","23-Nov-2022","923.70","927.00","931.85","923.70","926.50","927.45","927.21","10,959,704","10,161,973,011.95","145,719","8,711,945","79.49"
"ICICIBANK","EQ","24-Nov-2022","927.45","927.55","940.65","927.55","939.00","938.85","934.54","10,844,395","10,134,561,085.30","164,966","7,599,527","70.08"
"ICICIBANK","EQ","25-Nov-2022","938.85","940.30","942.90","927.50","930.00","930.30","933.39","9,815,055","9,161,251,493.10","135,171","7,260,705","73.98"
"ICICIBANK","EQ","28-Nov-2022","930.30","924.00","943.80","923.95","936.25","937.40","937.26","9,381,474","8,792,894,852.00","176,335","6,880,685","73.34"
"ICICIBANK","EQ","29-Nov-2022","937.40","933.55","949.90","933.55","946.85","946.75","947.15","13,096,845","12,404,681,919.65","244,003","9,804,723","74.86"
"ICICIBANK","EQ","30-Nov-2022","946.75","948.05","958.20","941.00","952.50","952.90","949.62","20,858,573","19,807,799,762.10","280,362","15,610,880","74.84"
"ICICIBANK","EQ","01-Dec-2022","952.90","956.00","957.00","936.25","939.45","940.20","943.02","15,920,653","15,013,557,080.95","357,956","11,004,525","69.12"
"ICICIBANK","EQ","02-Dec-2022","940.20","928.25","934.50","926.10","929.00","930.60","929.76","14,228,874","13,229,370,582.80","285,525","10,640,084","74.78"
"ICICIBANK","EQ","05-Dec-2022","930.60","937.00","937.00","928.40","933.90","933.60","932.34","10,984,608","10,241,403,399.55","252,201","8,258,310","75.18"
"ICICIBANK","EQ","06-Dec-2022","933.60","925.00","929.75","920.20","922.30","922.65","923.50","18,220,912","16,826,984,129.25","297,290","14,802,682","81.24"
"ICICIBANK","EQ","07-Dec-2022","922.65","922.00","933.20","920.65","923.00","922.15","925.10","15,675,663","14,501,590,969.30","293,451","11,326,139","72.25"
"ICICIBANK","EQ","08-Dec-2022","922.15","925.00","933.55","923.80","933.20","931.90","928.62","10,136,870","9,413,260,723.95","230,964","7,241,231","71.43"
"ICICIBANK","EQ","09-Dec-2022","931.90","932.00","934.80","925.05","930.25","929.90","929.77","9,575,331","8,902,841,019.45","198,805","7,070,548","73.84"
"ICICIBANK","EQ","12-Dec-2022","929.90","925.05","933.90","925.05","931.45","930.30","929.49","8,493,863","7,894,965,642.05","186,060","5,906,509","69.54"
"ICICIBANK","EQ","13-Dec-2022","930.30","929.50","935.90","927.80","932.65","932.95","932.16","10,415,140","9,708,526,755.65","214,803","7,690,955","73.84"
"ICICIBANK","EQ","14-Dec-2022","932.95","936.00","936.05","920.00","921.00","921.75","926.88","12,319,827","11,418,977,888.25","251,119","9,322,349","75.67"
"ICICIBANK","EQ","15-Dec-2022","921.75","916.00","919.90","905.00","905.75","908.80","915.06","8,929,748","8,171,268,105.35","223,689","5,783,490","64.77"
"ICICIBANK","EQ","16-Dec-2022","908.80","905.50","913.70","899.65","904.80","902.00","904.37","9,157,260","8,281,555,244.65","164,054","5,674,148","61.96"
